date,ticker,spot,put_call_volume_ratio,put_call_oi_ratio,avg_iv_calls,avg_iv_puts,iv_skew,vwap_strike_calls,vwap_strike_puts,strike_bias
2025-07-31,AAPL,210.75,0.55,0.756,0.2739,0.3097,0.0358,213.5,210.13,1.06
2025-08-01,AAPL,210.54,1.163,0.844,0.3087,0.3106,0.0018,213.58,205.47,-1.01
2025-08-02,AAPL,211.51,0.697,0.568,0.2419,0.29,0.0481,211.47,205.8,-2.88
2025-08-03,AAPL,213.79,0.436,0.541,0.2569,0.2489,-0.008,216.49,212.74,0.83
2025-08-04,AAPL,213.44,0.906,1.144,0.2543,0.2861,0.0317,216.32,210.27,-0.14
2025-08-05,AAPL,213.09,0.395,1.307,0.2115,0.2753,0.0638,212.95,212.73,-0.25
2025-08-06,AAPL,215.46,0.752,0.878,0.2818,0.282,0.0002,223.06,214.38,3.26
2025-08-07,AAPL,216.61,0.21,1.201,0.2804,0.2891,0.0087,220.03,213.89,0.35
2025-08-08,AAPL,215.91,0.368,1.008,0.2702,0.2922,0.022,214.34,210.87,-3.3
2025-08-09,AAPL,216.72,0.749,0.706,0.2606,0.2705,0.0099,220.69,209.68,-1.53
2025-08-10,AAPL,216.03,0.885,1.008,0.2134,0.2024,-0.011,215.11,212.19,-2.38
2025-08-11,AAPL,215.33,0.743,1.361,0.2532,0.2745,0.0214,219.69,215.4,2.22
2025-08-12,AAPL,215.69,0.671,0.889,0.2563,0.255,-0.0012,221.17,213.83,1.81
2025-08-13,AAPL,212.82,0.625,1.369,0.2379,0.2674,0.0295,212.36,206.58,-3.35
2025-08-14,AAPL,210.23,0.33,0.114,0.2635,0.2652,0.0016,215.12,208.25,1.46
2025-08-15,AAPL,209.39,0.52,1.147,0.2862,0.3372,0.051,212.63,208.05,0.95
2025-08-16,AAPL,207.87,0.585,0.926,0.3454,0.3498,0.0043,212.34,202.72,-0.34
2025-08-17,AAPL,208.34,0.964,0.81,0.277,0.2905,0.0136,216.03,206.3,2.83
2025-08-18,AAPL,206.98,0.786,0.928,0.2803,0.3166,0.0363,208.24,204.65,-0.53
2025-08-19,AAPL,204.86,0.259,0.304,0.267,0.2624,-0.0046,204.6,198.93,-3.1
2025-08-20,AAPL,207.06,0.781,0.834,0.1932,0.2178,0.0245,206.39,205.63,-1.05
2025-08-21,AAPL,206.72,0.604,1.007,0.2689,0.3151,0.0461,206.27,205.9,-0.63
2025-08-22,AAPL,206.82,0.531,1.343,0.2724,0.2603,-0.0121,208.59,207.57,1.26
2025-08-23,AAPL,204.69,0.853,0.745,0.3685,0.3922,0.0237,207.71,205.35,1.84
2025-08-24,AAPL,203.87,0.958,0.657,0.2623,0.2875,0.0252,206.7,197.24,-1.9
2025-08-25,AAPL,204.03,0.933,0.749,0.2821,0.3177,0.0356,208.51,198.72,-0.41
2025-08-26,AAPL,202.31,0.49,1.175,0.2686,0.2639,-0.0047,204.35,201.36,0.55
2025-08-27,AAPL,202.87,0.623,0.999,0.2233,0.2168,-0.0064,209.23,201.91,2.7
2025-08-28,AAPL,201.97,0.783,0.741,0.3157,0.3462,0.0304,203.18,201.02,0.13
2025-08-29,AAPL,201.53,0.944,1.054,0.3001,0.326,0.0259,211.69,210.59,9.61
